transactionId,customerRef,customerName,amount,occurredAt,countryCode,city,latitude,longitude,merchantId,merchantCategory,deviceId,paymentMethod,hour,dayOfWeek,isForeign,isNewDevice,isNewPaymentMethod,isDawn,label,scenario
SIM-CUST-034-NORMAL-0001,SIM-CUST-034,Shin Haein,137827,2025-07-11T07:39:00,KR,Daegu,35.866373,128.581876,shopping-daegu-01,SHOPPING,web-trusted-sim-cust-034,CARD,7,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-064-NORMAL-0001,SIM-CUST-064,Choi Haein,155669,2025-07-11T08:09:00,KR,Daegu,35.856279,128.61627,grocery-daegu-01,GROCERY,web-trusted-sim-cust-064,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-046-NORMAL-0001,SIM-CUST-046,Kang Yuna,91651,2025-07-11T08:15:00,KR,Seoul,37.559857,126.999906,grocery-seoul-01,GROCERY,web-trusted-sim-cust-046,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-028-NORMAL-0001,SIM-CUST-028,Yoon Sumin,124766,2025-07-11T08:21:00,KR,Incheon,37.455384,126.724227,cafe-incheon-01,CAFE,web-trusted-sim-cust-028,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-088-NORMAL-0001,SIM-CUST-088,Yoon Sumin,115702,2025-07-11T08:21:00,KR,Incheon,37.435681,126.707351,shopping-incheon-01,SHOPPING,web-trusted-sim-cust-088,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-009-NORMAL-0001,SIM-CUST-009,Jang Jiwon,142460,2025-07-11T08:24:00,KR,Daegu,35.894387,128.611724,dining-daegu-01,DINING,web-trusted-sim-cust-009,ACCOUNT,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-070-NORMAL-0001,SIM-CUST-070,Lim Nari,87397,2025-07-11T08:27:00,KR,Daejeon,36.35292,127.379598,shopping-daejeon-01,SHOPPING,web-trusted-sim-cust-070,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-074-NORMAL-0001,SIM-CUST-074,Shin Haein,65301,2025-07-11T08:39:00,KR,Daegu,35.878725,128.625436,cafe-daegu-01,CAFE,web-trusted-sim-cust-074,E-PAY,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-094-NORMAL-0001,SIM-CUST-094,Shin Haein,90536,2025-07-11T08:39:00,KR,Daegu,35.86316,128.585466,dining-daegu-01,DINING,web-trusted-sim-cust-094,CARD,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-042-NORMAL-0001,SIM-CUST-042,Lee Seoyeon,129674,2025-07-11T09:03:00,KR,Busan,35.162077,129.071696,cafe-busan-01,CAFE,web-trusted-sim-cust-042,ACCOUNT,9,4,0,0,0,0,0,NORMAL_BASELINE
